author,docid,firstpub,genretags,title
"Defoe, Daniel",mdp.39015078548420_0,1719,fic|c18,"The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner"
"Defoe, Daniel",mdp.39015078548420_1,1719,fic|c18,"The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner"
"Defoe, Daniel",mdp.39015078548420_2,1719,fic|c18,"The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner"
"Defoe, Daniel",mdp.39015078548420_3,1719,fic|c18,"The Life and Strange Surprizing Adventures of Robinson Crusoe, of York, Mariner"
"Bond, William",mdp.39015013747905_0,1720,bio|c18,The History of the Life and Adventures of Mr Duncan Campbell
"Bond, William",mdp.39015013747905_1,1720,bio|c18,The History of the Life and Adventures of Mr Duncan Campbell
"Bond, William",mdp.39015013747905_2,1720,bio|c18,The History of the Life and Adventures of Mr Duncan Campbell
"Bond, William",mdp.39015013747905_3,1720,bio|c18,The History of the Life and Adventures of Mr Duncan Campbell
"Reresby, John",njp.32101067407930_0,1734,bio|c18,"The Memoirs of the Honourable Sir John Reresby, Bart"
"Reresby, John",njp.32101067407930_1,1734,bio|c18,"The Memoirs of the Honourable Sir John Reresby, Bart"
"Reresby, John",njp.32101067407930_2,1734,bio|c18,"The Memoirs of the Honourable Sir John Reresby, Bart"
"Reresby, John",njp.32101067407930_3,1734,bio|c18,"The Memoirs of the Honourable Sir John Reresby, Bart"
"Richardson, Samuel",uc1.31175035201717_0,1741,fic|c18,"Pamela; or Virtue Rewarded, vol. 1"
"Richardson, Samuel",uc1.31175035201717_1,1741,fic|c18,"Pamela; or Virtue Rewarded, vol. 1"
"Richardson, Samuel",uc1.31175035201717_2,1741,fic|c18,"Pamela; or Virtue Rewarded, vol. 1"
"Richardson, Samuel",uc1.31175035201717_3,1741,fic|c18,"Pamela; or Virtue Rewarded, vol. 1"
"Lennox, Charlotte",nyp.33433074948542_0,1752,fic|c18,"The Female Quixote, vol. 1"
"Lennox, Charlotte",nyp.33433074948542_1,1752,fic|c18,"The Female Quixote, vol. 1"
"Lennox, Charlotte",nyp.33433074948542_2,1752,fic|c18,"The Female Quixote, vol. 1"
"Lennox, Charlotte",nyp.33433074948542_3,1752,fic|c18,"The Female Quixote, vol. 1"
"Lennox, Charlotte",nyp.33433074948559_0,1752,fic|c18,"The Female Quixote, vol. 2"
"Lennox, Charlotte",nyp.33433074948559_1,1752,fic|c18,"The Female Quixote, vol. 2"
"Lennox, Charlotte",nyp.33433074948559_2,1752,fic|c18,"The Female Quixote, vol. 2"
"Lennox, Charlotte",nyp.33433074948559_3,1752,fic|c18,"The Female Quixote, vol. 2"
"Goldsmith, Oliver",nyp.33433082380142_0,1762,bio|c18,The Life of Richard Nash of Bath
"Goldsmith, Oliver",nyp.33433082380142_1,1762,bio|c18,The Life of Richard Nash of Bath
"Goldsmith, Oliver",nyp.33433082380142_2,1762,bio|c18,The Life of Richard Nash of Bath
"Goldsmith, Oliver",nyp.33433082380142_3,1762,bio|c18,The Life of Richard Nash of Bath
"Psalmanazar, George",uc1.31175014904273_0,1764,bio|c18,"Memoirs of ****, Commonly Known by the Name of George Psalmanazar"
"Psalmanazar, George",uc1.31175014904273_1,1764,bio|c18,"Memoirs of ****, Commonly Known by the Name of George Psalmanazar"
"Psalmanazar, George",uc1.31175014904273_2,1764,bio|c18,"Memoirs of ****, Commonly Known by the Name of George Psalmanazar"
"Psalmanazar, George",uc1.31175014904273_3,1764,bio|c18,"Memoirs of ****, Commonly Known by the Name of George Psalmanazar"
"Smollett, Tobias",dul1.ark=+13960+t9184177s_0,1769,fic|c18,"The History and Adventures of an Atom, vol. 1"
"Smollett, Tobias",dul1.ark=+13960+t9184177s_1,1769,fic|c18,"The History and Adventures of an Atom, vol. 1"
"Smollett, Tobias",dul1.ark=+13960+t9184177s_2,1769,fic|c18,"The History and Adventures of an Atom, vol. 1"
"Smollett, Tobias",dul1.ark=+13960+t9184177s_3,1769,fic|c18,"The History and Adventures of an Atom, vol. 1"
"Smollett, Tobias",dul1.ark=+13960+t6d22ng55_0,1769,fic|c18,"The History and Adventures of an Atom, vol. 2"
"Smollett, Tobias",dul1.ark=+13960+t6d22ng55_1,1769,fic|c18,"The History and Adventures of an Atom, vol. 2"
"Smollett, Tobias",dul1.ark=+13960+t6d22ng55_2,1769,fic|c18,"The History and Adventures of an Atom, vol. 2"
"Smollett, Tobias",dul1.ark=+13960+t6d22ng55_3,1769,fic|c18,"The History and Adventures of an Atom, vol. 2"
"Oldys, William",nnc1.0035536543_0,1777,bio|c18,"The Life of Dr. George Abbot, Lord Archbishop"
"Oldys, William",nnc1.0035536543_1,1777,bio|c18,"The Life of Dr. George Abbot, Lord Archbishop"
"Oldys, William",nnc1.0035536543_2,1777,bio|c18,"The Life of Dr. George Abbot, Lord Archbishop"
"Oldys, William",nnc1.0035536543_3,1777,bio|c18,"The Life of Dr. George Abbot, Lord Archbishop"
"Warton, Thomas",mdp.39015068293086_0,1780,bio|c18,"The Life of Sir Thomas Pope, founder of Trinity College, 2nd ed."
"Warton, Thomas",mdp.39015068293086_1,1780,bio|c18,"The Life of Sir Thomas Pope, founder of Trinity College, 2nd ed."
"Warton, Thomas",mdp.39015068293086_2,1780,bio|c18,"The Life of Sir Thomas Pope, founder of Trinity College, 2nd ed."
"Warton, Thomas",mdp.39015068293086_3,1780,bio|c18,"The Life of Sir Thomas Pope, founder of Trinity College, 2nd ed."
"Cumberland, Richard",njp.32101079814040_0,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 1"
"Cumberland, Richard",njp.32101079814040_1,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 1"
"Cumberland, Richard",njp.32101079814040_2,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 1"
"Cumberland, Richard",njp.32101079814040_3,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 1"
"Cumberland, Richard",njp.32101079814032_0,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 2"
"Cumberland, Richard",njp.32101079814032_1,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 2"
"Cumberland, Richard",njp.32101079814032_2,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 2"
"Cumberland, Richard",njp.32101079814032_3,1782,bio|c18,"Anecdotes of Eminent Painters in Spain, vol. 2"
"Sterne, Laurence",osu.32435017901539_0,1782,fic|c18,The Beauties of Sterne
"Sterne, Laurence",osu.32435017901539_1,1782,fic|c18,The Beauties of Sterne
"Sterne, Laurence",osu.32435017901539_2,1782,fic|c18,The Beauties of Sterne
"Sterne, Laurence",osu.32435017901539_3,1782,fic|c18,The Beauties of Sterne
"Burney, Frances",inu.30000115371209_0,1782,fic|c18,"Cecilia, or Memoirs of an Heiress, vol. 1"
"Burney, Frances",inu.30000115371209_1,1782,fic|c18,"Cecilia, or Memoirs of an Heiress, vol. 1"
"Burney, Frances",inu.30000115371209_2,1782,fic|c18,"Cecilia, or Memoirs of an Heiress, vol. 1"
"Burney, Frances",inu.30000115371209_3,1782,fic|c18,"Cecilia, or Memoirs of an Heiress, vol. 1"
"Holcroft, Thomas",inu.30000115350195_0,1783,fic|c18,The Family Picture
"Holcroft, Thomas",inu.30000115350195_1,1783,fic|c18,The Family Picture
"Holcroft, Thomas",inu.30000115350195_2,1783,fic|c18,The Family Picture
"Holcroft, Thomas",inu.30000115350195_3,1783,fic|c18,The Family Picture
"Hawkins, John",mdp.39015014138518_0,1787,bio|c18,"The Life of Samuel Johnson, LLD"
"Hawkins, John",mdp.39015014138518_1,1787,bio|c18,"The Life of Samuel Johnson, LLD"
"Hawkins, John",mdp.39015014138518_2,1787,bio|c18,"The Life of Samuel Johnson, LLD"
"Hawkins, John",mdp.39015014138518_3,1787,bio|c18,"The Life of Samuel Johnson, LLD"
